2020-10-22 00:05:42 [DEBUG] [root]show full columns from `heecms_pages`
2020-10-22 00:05:42 [DEBUG] [root]select * from heecms_pages       
2020-10-22 00:05:42 [DEBUG] [root]select * from heecms_config where 1=1  
2020-10-22 00:05:58 [DEBUG] [root]show full columns from `heecms_pages`
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_pages       
2020-10-22 00:05:58 [DEBUG] [root]show full columns from `heecms_config`
2020-10-22 00:05:58 [DEBUG] [root]select `name`,`value` from heecms_config       
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link_group   where  (`heecms_link_group`.delete_time IS NULL or `heecms_link_group`.delete_time <=0 or `heecms_link_group`.delete_time='')    
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`link_group_id`='1')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by link_group_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='1')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='3')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='4')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='5')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='6')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='7')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='19')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`link_group_id`='2')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by link_group_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='8')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='9')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='10')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='11')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='12')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='13')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='14')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='15')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='16')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='17')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='18')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`link_group_id`='3')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by link_group_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='20')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='21')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='22')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='23')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:58 [DEBUG] [root]select * from heecms_link   where ((`parent_id`='24')) and (`heecms_link`.delete_time IS NULL or `heecms_link`.delete_time <=0 or `heecms_link`.delete_time='')  order by parent_id asc  
2020-10-22 00:05:59 [DEBUG] [root]show full columns from `heecms_pages`
2020-10-22 00:05:59 [DEBUG] [root]select * from heecms_pages       
